Year,Plot,Treatment,Subtreatment,ACAM,ACAM_d,AG,AG_d,AMSIN,AMSIN_d,AVEN,BRDI,BRDI_d,BRHO,BRHO_d,BRMA,BRNI,BRNI_d,BROMUS,CACO,CAEX,CAME,CEGL,CESO,CLPU,COAR,CRSE,CRSE_d,DELO,DELO_d,ELTR,ERBO,ERCI,ERCI_d,ERMO,ESCA,EUCH,FEBR,FEMY,FEMY_d,GR,HIIN,HIIN_d,HL,HOMU,HOMU_d,LAAM,LAGR,LUBI,MEPO,BG,PEGRAS,PLCA,RUCR,STME,TRGR,TRIFO,VEPE
2021,6,U,UMS,0,0,3,0,0,0,0,2,0,12,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,52,2,0,0,0,0,0,22,0,2,0,0,0,0,0
2021,6,U,US,0,0,4,0,0,0,0,4,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,5,53,0,0,0,0,0,0,17,0,1,0,0,0,0,0
2021,7,G,GC,0,0,5,6,0,0,0,4,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,60,15,1,0,0,0,0,18,0,1,0,0,0,0,0
2021,7,G,GS,0,0,2,6,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,53,13,5,0,0,0,0,20,0,0,0,0,0,0,0
2021,7,S,SC,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,6,16,0,0,0,1,60,2,0,0,0,0,0,19,0,0,0,0,0,0,0
2021,7,S,SS,0,0,4,1,1,0,2,0,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,10,0,0,1,7,59,4,0,0,0,0,0,19,0,3,0,0,0,0,0
2021,7,U,UC,0,0,1,0,0,0,0,4,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,3,0,0,3,0,60,1,0,0,0,0,0,19,0,0,0,0,0,0,0
2021,7,U,UM,0,0,0,20,0,1,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,8,0,0,1,6,55,1,5,0,0,0,0,8,0,0,0,0,0,0,0
2021,7,U,UMS,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,7,0,0,0,3,52,0,1,0,0,0,0,9,0,0,0,0,0,0,0
2021,7,U,US,0,0,5,4,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,56,12,2,0,0,0,0,21,0,0,0,0,0,0,0
2021,8,G,GC,0,0,4,6,1,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,59,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2021,8,G,GS,0,0,2,10,5,0,0,12,0,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,59,1,4,0,0,0,0,17,0,0,0,0,0,0,0
2021,8,S,SC,0,0,0,7,3,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2021,8,S,SS,0,0,0,2,3,4,0,9,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,18,0,0,0,0,0,0,0
2021,8,U,UC,0,0,1,0,4,3,0,1,3,25,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,3,59,7,2,0,0,0,0,7,0,2,0,0,0,0,0
2021,8,U,UM,0,0,5,7,2,0,0,7,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,3,59,3,0,0,0,0,0,19,0,0,0,0,0,0,0
2021,8,U,UMS,0,0,3,2,0,0,0,8,4,21,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,8,59,5,0,0,0,0,0,14,0,0,0,0,0,0,0
2021,8,U,US,0,0,3,4,3,1,0,6,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,3,61,3,1,0,0,0,0,20,0,3,0,0,0,0,0
2021,9,G,GC,0,0,0,11,3,1,0,31,5,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,3,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,G,GS,0,0,0,11,4,0,0,13,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,11,0,0,0,0,0,0,0
2021,9,S,SC,0,0,0,1,4,1,0,23,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2021,9,S,SS,0,0,0,5,1,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,18,0,0,0,0,0,0,0
2021,9,U,UC,0,0,0,4,2,0,0,7,1,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,8,6,56,0,0,0,0,0,0,18,0,0,0,0,0,0,0
2021,9,U,UM,0,0,4,0,5,1,0,2,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,3,0,0,0,9,2,58,2,0,0,0,0,0,24,0,0,0,0,0,0,0
2021,9,U,UMS,0,0,1,1,3,0,0,8,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,7,0,0,0,3,1,56,1,0,0,0,0,0,17,0,0,0,0,0,0,0
2021,9,U,US,0,0,2,2,0,1,0,13,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,9,3,57,1,0,0,0,0,0,18,0,0,0,0,0,0,0
2022,1,G,GC,0,0,1,1,0,0,0,4,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,11,6,48,0,0,0,0,0,0,12,0,0,0,0,0,0,0
2022,1,G,GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,10,0,12,0,0,0,0,0,0,32,0,2,0,0,0,0,0
2022,1,S,SC,0,0,0,0,0,0,0,3,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,6,24,59,0,0,0,0,0,0,12,0,0,0,0,0,0,0
2022,1,S,SS,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,24,0,10,0,0,0,4,0,0,18,0,1,0,0,0,0,0
2022,1,U,UC,0,0,5,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,10,10,51,1,0,0,0,0,0,11,0,1,0,0,0,0,0
2022,1,U,UM,0,0,7,0,1,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,20,0,54,1,0,0,0,0,0,6,0,0,0,0,0,0,0
2022,1,U,UMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,8,0,13,0,0,0,1,0,0,33,0,1,0,0,0,0,0
2022,1,U,US,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,1,0,0,0,0,0,5,0,6,0,0,0,2,0,0,23,0,4,0,0,0,0,0
2022,10,G,GC,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,5,47,11,1,0,0,0,0,7,0,0,0,0,0,0,0
2022,10,G,GS,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,5,0,2,1,0,0,1,0,0,8,0,0,0,0,0,0,0
2022,10,S,SC,0,0,1,0,11,0,0,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,7,42,19,0,0,0,0,0,11,0,0,0,0,0,0,0
2022,10,S,SS,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,3,0,10,7,0,0,0,0,0,10,0,0,0,0,0,0,0
